PDBID	CHAIN	EMBID	size	Tm	Te	taxid	organism	group
3N79	A	AAL20958.1	192.0		37.0	90371.0	salmonella_typhimurium	Bacteria
2YYK	A	BAD70783.1	481.0		71.0	300852.0	thermus_thermophilus	Bacteria
1JI7	A	EAW96240.1	89.0		37.0	9606.0	homo_sapiens	Eukaryota
3IAG	C	AAH51387.1	422.0			10090.0	mus_musculus	Eukaryota
3SHP	A	ACZ38128.1	176.0		55.0	479434.0	sphaerobacter_thermophilus	Bacteria
4N6O	A	CAD61895.1	278.0		37.0	9606.0	homo_sapiens	Eukaryota
1ULK	A	BAB21577.1	126.0			3527.0	phytolacca_americana	Eukaryota
4FXI	A	BAA15262.1	95.0		36.0	83333.0	escherichia_coli	Bacteria
4OM8	A	BAB53022.1	309.0		26.0	266835.0	rhizobium_loti	Bacteria
1G8E	A	AAC74962.2	116.0		37.0	562.0	escherichia_coli	Bacteria
3P6L	A	ABR43638.1	262.0		37.0	435591.0	parabacteroides_distasonis	Bacteria
1VQO	C	AAA86860.1	246.0		45.0	2238.0	haloarcula_marismortui	Archaea
3SXN	A	ABK75645.1	422.0		36.0	246196.0	mycobacterium_smegmatis	Bacteria
2A6V	A	DAA09396.1	226.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3K01	A	AIR96221.1	412.0		27.0	1907.0	streptomyces_glaucescens	Bacteria
4CZG	A	ACL95077.1	348.0		30.0	155892.0	caulobacter_vibrioides	Bacteria
2EBY	A	BAE76262.1	113.0		37.0	562.0	escherichia_coli	Bacteria
3WDN	A	AAI20071.1	125.0			9913.0	bos_taurus	Eukaryota
2IM5	A	AAQ65307.1	394.0		37.0	837.0	porphyromonas_gingivalis	Bacteria
1QYN	A	AAP19097.1	153.0		37.0	562.0	escherichia_coli	Bacteria
3UIE	A	AAC50034.1	200.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
3UQC	B	CCP46739.1			37.0	1773.0	mycobacterium_tuberculosis	Bacteria
4L9P	B	EAL89755.1	519.0			330879.0	neosartorya_fumigata	Eukaryota
3ATV	A	BAB63300.1	392.0		37.0	9606.0	homo_sapiens	Eukaryota
1IAK	B	AAA39632.1	185.0			10090.0	mus_musculus	Eukaryota
4GXB	B	AAA37712.1	41.0			10090.0	mus_musculus	Eukaryota
4AK8	A	AAH22278.1	155.0		37.0	9606.0	homo_sapiens	Eukaryota
2XW6	A	ACE81430.1	134.0		67.0	405418.0	thermus_sp	Bacteria
4J2G	A	CAR21051.1	273.0		24.0	559295.0	lachancea_thermotolerans	Eukaryota
4LFH	D	AAH22317.1	236.0		37.0	9606.0	homo_sapiens	Eukaryota
3NR5	A	EAW82159.1	164.0		37.0	9606.0	homo_sapiens	Eukaryota
4KBX	A	BAE77910.1	388.0		36.0	83333.0	escherichia_coli	Bacteria
4EW1	A	AAA60077.1	209.0		37.0	9606.0	homo_sapiens	Eukaryota
4KKN	A	BAP25848.1	133.0			9913.0	bos_taurus	Eukaryota
3K2Z	A	AAD36159.1	196.0		79.0	2336.0	thermotoga_maritima	Bacteria
4NL9	A	BAB85563.1	71.0		37.0	9606.0	homo_sapiens	Eukaryota
1F75	A	BAA31993.1	249.0		29.0	1270.0	micrococcus_luteus	Bacteria
1GYX	A	CAA43312.1	76.0		36.0	83333.0	escherichia_coli	Bacteria
2PFC	A	CCP42823.1	183.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
1KA9	F	BAD71267.1	252.0		72.0	274.0	thermus_thermophilus	Bacteria
1SCJ	B	AAA22814.1	71.0		35.0	1423.0	bacillus_subtilis	Bacteria
1Y81	A	AAL80849.1	138.0		100.0	2261.0	pyrococcus_furiosus	Archaea
3D55	A	CCP46178.1	91.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
2YKF	A	CCP46036.1	305.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
2IHC	A	CAB90435.1	124.0		37.0	9606.0	homo_sapiens	Eukaryota
1O88	A	AAA24849.1	353.0		27.7	556.0	dickeya_chrysanthemi	Bacteria
3CTK	A	AAL35962.1	248.0			146096.0	bougainvillea_spectabilis	Eukaryota
2HZC	A	EAW72404.1	87.0		37.0	9606.0	homo_sapiens	Eukaryota
4OI3	A	CAC04062.1	89.0		30.0	100226.0	streptomyces_coelicolor	Bacteria
3NIY	A	ABQ46873.1	341.0		75.0	390874.0	thermotoga_petrophila	Bacteria
4LAN	A	EGX96794.1	376.0		24.0	983644.0	cordyceps_militaris	Eukaryota
3OVP	A	BAF83724.1	228.0		37.0	9606.0	homo_sapiens	Eukaryota
4U5W	A	AAB59883.1	149.0			11685.0	human_immunodeficiency	Virus
3WXL	A	BAI79241.1	518.0		25.0	31285.0	trypanosoma_brucei	Eukaryota
1RYQ	A	AAL80379.1	69.0		100.0	2261.0	pyrococcus_furiosus	Archaea
4RA7	A	ACV51768.1	453.0		37.0	521095.0	atopobium_parvulum	Bacteria
2HYT	A	CAG74723.1	197.0		27.0	29471.0	pectobacterium_atrosepticum	Bacteria
3K8Z	A	BAI85798.1	423.0		35.0	1423.0	bacillus_subtilis	Bacteria
1FXR	A	CAD33799.1	64.0		31.0	873.0	desulfovibrio_africanus	Bacteria
1EKQ	A	CAB15856.1	272.0		35.0	1423.0	bacillus_subtilis	Bacteria
4MHE	A	BAG70272.1	70.0		37.0	9606.0	homo_sapiens	Eukaryota
4CS9	A	AAM12941.1	189.0			162145.0	human_metapneumovirus	Virus
2OZT	A	BAC08726.1	332.0		26.0	32046.0	synechococcus_elongatus	Bacteria
4GGF	C	CAG47020.1	114.0		37.0	9606.0	homo_sapiens	Eukaryota
3VK5	A	ABJ90164.1	286.0		27.0	566461.0	streptomyces_ghanaensis	Bacteria
1CGH	A	CAG46505.1	224.0		37.0	9606.0	homo_sapiens	Eukaryota
3QWW	A	AAH23119.1	433.0			10090.0	mus_musculus	Eukaryota
1T3G	A	AAF59411.1	159.0		37.0	9606.0	homo_sapiens	Eukaryota
4PEU	A	ABN53361.1	313.0			203119.0	clostridium_thermocellum	Bacteria
1BKB	A	AAL64850.1	136.0		100.0	13773.0	pyrobaculum_aerophilum	Archaea
1PJQ	A	AAA27041.1	457.0			90371.0	salmonella_typhimurium	Bacteria
2XFD	A	CBM95521.1	112.0		37.0	562.0	escherichia_coli	Bacteria
1JDP	A	AAB88801.1	441.0		37.0	9606.0	homo_sapiens	Eukaryota
4DKM	A	EEN57100.1	216.0			7739.0	branchiostoma_floridae	Eukaryota
1G2O	A	CCP46126.1	268.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
3CI0	I	AAL10698.1	89.0		37.0	562.0	escherichia_coli	Bacteria
2FYW	A	AAK75693.1	267.0		37.0	170187.0	streptococcus_pneumoniae	Bacteria
1VEF	A	BAD71578.1	395.0		72.0	274.0	thermus_thermophilus	Bacteria
2O34	A	AAS95577.1	250.0		30.0	881.0	desulfovibrio_vulgaris	Bacteria
1ITU	A	AAH17023.1	369.0		37.0	9606.0	homo_sapiens	Eukaryota
3W4U	A	AAH27892.1	142.0		37.0	9606.0	homo_sapiens	Eukaryota
2F5G	A	AAK41701.1	133.0		85.0	2287.0	sulfolobus_solfataricus	Archaea
3BAE	L	CAA24189.1	218.0			10090.0	mus_musculus	Eukaryota
2WPH	E	AAA51981.1	59.0		37.0	9606.0	homo_sapiens	Eukaryota
2YNQ	A	ABO65800.1	161.0		57.0	420246.0	geobacillus_thermodenitrificans	Bacteria
3OA1	A	AAA47216.1	229.0			103929.0	rabies_virus	Virus
4KQ6	A	CAG57931.1	179.0			284593.0	candida_glabrata	Eukaryota
2H48	B	AAH62327.1	88.0		37.0	9606.0	homo_sapiens	Eukaryota
3MSZ	A	CAG45166.1	89.0		37.0	177416.0	francisella_tularensis	Bacteria
3HR6	A	CAE50544.1	436.0		37.0	1717.0	corynebacterium_diphtheriae	Bacteria
2F4M	A	AAP03060.1	295.0			10090.0	mus_musculus	Eukaryota
1VP7	A	CAE37757.1	100.0		37.0	257313.0	bordetella_pertussis	Bacteria
4LL6	A	AAC37409.1	374.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
3S44	A	AAY89061.1	399.0		36.0	747.0	pasteurella_multocida	Bacteria
2IJ2	A	AAK19020.1	470.0		42.0	1404.0	bacillus_megaterium	Bacteria
2ZSJ	A	AAC06690.1	352.0		90.0	63363.0	aquifex_aeolicus	Bacteria
3GUD	A	CAC21533.1	129.0			12345.0	bacillus_phage	Virus
1U0S	A	AAA96387.1	86.0		79.0	2336.0	thermotoga_maritima	Bacteria
2X8J	D	CBH18820.1			31.0	79880.0	bacillus_clausii	Bacteria
3ZDM	A	DAA10789.1	72.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3A1A	A	AAN40037.1	144.0		37.0	9606.0	homo_sapiens	Eukaryota
4P0T	A	AAH07495.1	176.0		37.0	9606.0	homo_sapiens	Eukaryota
1RCD	A	AAA49524.1	173.0			8400.0	lithobates_catesbeiana	Eukaryota
4BH5	A	BAE77679.1	142.0		36.0	83333.0	escherichia_coli	Bacteria
2OBA	A	AAG06054.1	138.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
3QLD	A	EED06718.1	388.0		57.0	543302.0	alicyclobacillus_acidocaldarius	Bacteria
4M23	A	BAL15753.1	364.0		27.0	58340.0	streptomyces_lavendulae	Bacteria
1M5I	A	AAA03586.1	125.0		37.0	9606.0	homo_sapiens	Eukaryota
4FB2	A	AAL57614.1	398.0		33.0	57706.0	citrobacter_braakii	Bacteria
2IIA	A	BAB74865.1	131.0		24.0	1167.0	anabaena_sp	Bacteria
4ETS	A	AAC64259.1	162.0		37.0	32022.0	campylobacter_jejuni	Bacteria
4NTD	A	EFG10348.1	340.0		28.0	443255.0	streptomyces_clavuligerus	Bacteria
1VCA	A	AAA51917.1	202.0		37.0	9606.0	homo_sapiens	Eukaryota
2IAD	A	AAA39615.1	194.0			10090.0	mus_musculus	Eukaryota
2P0D	A	AAH06107.1	129.0		37.0	9606.0	homo_sapiens	Eukaryota
2QXF	A	AAA16417.1	482.0		36.0	83333.0	escherichia_coli	Bacteria
1RLW	A	AAB00789.1	126.0		37.0	9606.0	homo_sapiens	Eukaryota
1J3B	A	BAD70101.1	529.0		71.0	300852.0	thermus_thermophilus	Bacteria
1P7G	A	AAL62675.1	222.0		100.0	13773.0	pyrobaculum_aerophilum	Archaea
1V7Z	A	BAA08265.1	260.0		29.0	306.0	pseudomonas_sp	Bacteria
3N10	A	PWF37312.1	179.0		27.0	632.0	yersinia_pestis	Bacteria
2GP4	A	AAN55518.1	628.0		30.0	211586.0	shewanella_oneidensis	Bacteria
2Q9U	A	AAM94641.1	414.0		35.0	5741.0	giardia_intestinalis	Eukaryota
2O0R	A	CCP43606.1	411.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
3CI3	A	AAX14514.1	194.0		36.0	1598.0	lactobacillus_reuteri	Bacteria
2D4U	A	BAE78345.1	176.0		37.0	562.0	escherichia_coli	Bacteria
1T5O	A	AAB90865.1	351.0		81.0	224325.0	archaeoglobus_fulgidus	Archaea
3WSC	A	BAE87076.1	283.0		28.0	90322.0	sphingomonas_sp	Bacteria
4CYV	B	ADF83739.1	172.0			757360.0	influenza_a	Virus
1YBE	A	AAK86031.2	449.0		27.0	358.0	rhizobium_radiobacter	Bacteria
4FZ2	A	EET89679.1	395.0			425595.0	candidatus_micrarchaeum	Archaea
1ZUU	A	DAA06808.1	58.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3KS6	A	AAK90436.1	250.0			176299.0	agrobacterium_fabrum	Bacteria
2PEZ	A	AAH11392.1	179.0		37.0	9606.0	homo_sapiens	Eukaryota
4DJB	A	CAA26757.1	130.0			28285.0	human_adenovirus	Virus
3LSW	A	AAA63480.1	258.0			10116.0	rattus_norvegicus	Eukaryota
1Y7P	A	AAB89840.1	223.0		81.0	2234.0	archaeoglobus_fulgidus	Archaea
3H7C	X	BAC43189.1	383.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
2Q4F	A	BAT09475.1	149.0			4530.0	oryza_sativa	Eukaryota
3IOH	A	CAI79116.1	298.0		37.0	9606.0	homo_sapiens	Eukaryota
4HQB	A	DAA06535.1	148.0		30.0	1299.0	deinococcus_radiodurans	Bacteria
4PED	A	AAG17245.1	393.0		37.0	9606.0	homo_sapiens	Eukaryota
2GOJ	A	CAA89971.1	197.0		37.0	137071.0	plasmodium_falciparum	Eukaryota
1TJL	A	BAB96722.1	151.0		37.0	562.0	escherichia_coli	Bacteria
3T95	A	CAL19090.1	335.0		37.0	214092.0	yersinia_pestis	Bacteria
4A49	A	CAA40393.1	84.0		37.0	9606.0	homo_sapiens	Eukaryota
1ZMD	A	AAA59527.1	474.0		37.0	9606.0	homo_sapiens	Eukaryota
3LNY	A	AAF63474.1	96.0		37.0	9606.0	homo_sapiens	Eukaryota
3V42	A	AAM94803.1	226.0		37.0	9606.0	homo_sapiens	Eukaryota
1J3K	C	AAA29586.1	328.0		37.0	5833.0	plasmodium_falciparum	Eukaryota
2DRW	A	BAA94704.1	363.0		30.0	529.0	ochrobactrum_anthropi	Bacteria
4WJI	A	CAC47240.1	293.0		28.0	266834.0	rhizobium_meliloti	Bacteria
1OZ7	A	AAP41218.2	131.0			40353.0	echis_carinatus	Eukaryota
4H6J	A	BAB70608.1	113.0		37.0	9606.0	homo_sapiens	Eukaryota
4FBW	C	AAP32157.1	59.0		25.0	284812.0	schizosaccharomyces_pombe	Eukaryota
3U1C	A	CAA41057.1	101.0		41.0	9031.0	gallus_gallus	Eukaryota
3GFF	A	AAN56037.2	331.0		30.0	70863.0	shewanella_oneidensis	Bacteria
1R5A	A	AAG17626.1	218.0			123217.0	anopheles_cracens	Eukaryota
3MAL	A	AAN28761.1	199.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
1WC3	A	BAA22997.1	219.0		22.0	118562.0	arthrospira_platensis	Bacteria
4ATF	A	CAZ97711.1	308.0		34.0	63186.0	zobellia_galactanivorans	Bacteria
4P5M	B	BAA02465.1	212.0		37.0	9606.0	homo_sapiens	Eukaryota
4LQT	A	AAA27721.1	248.0			6100.0	aequorea_victoria	Eukaryota
3EC6	A	AAT29518.1	139.0		37.0	1392.0	bacillus_anthracis	Bacteria
3QMJ	A	ACC41201.1	256.0		31.0	216594.0	mycobacterium_marinum	Bacteria
2VKH	A	CAA57959.1	546.0		37.0	1505.0	paeniclostridium_sordellii	Bacteria
1K68	A	AAL76160.1	140.0			1188.0	tolypothrix_sp	Bacteria
2BI0	A	AAK44447.1	337.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
3K05	A	AAI10646.1	200.0		37.0	9606.0	homo_sapiens	Eukaryota
3ZOQ	A	CAA51613.1	225.0		46.0	224308.0	bacillus_subtilis	Bacteria
4R82	A	AAL06698.1	185.0		27.0	1908.0	streptomyces_globisporus	Bacteria
4HW8	A	ABD29354.1	420.0		37.0	93061.0	staphylococcus_aureus	Bacteria
3PVE	A	AAI50704.1	189.0			10090.0	mus_musculus	Eukaryota
3FFY	A	CAH06337.1	115.0		37.0	272559.0	bacteroides_fragilis	Bacteria
4CGO	A	CAJ08448.1	411.0		24.0	5664.0	leishmania_major	Eukaryota
2FM8	A	AAL21775.1	135.0			90371.0	salmonella_typhimurium	Bacteria
4NUA	A	EAW53078.1	375.0		37.0	9606.0	homo_sapiens	Eukaryota
2XJY	A	AAF98804.1	131.0		37.0	9606.0	homo_sapiens	Eukaryota
2JER	A	AAO80553.1	389.0		36.3	1351.0	enterococcus_faecalis	Bacteria
1PHK	A	CAA68682.1	298.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
3F3X	A	AAK41588.1	144.0		85.0	2287.0	sulfolobus_solfataricus	Archaea
4J5T	A	AAC49157.1	811.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
4CNM	A	BAF83859.1	299.0		37.0	9606.0	homo_sapiens	Eukaryota
4EUU	A	AAH34950.1	319.0		37.0	9606.0	homo_sapiens	Eukaryota
4HT1	T	AAQ89229.1	154.0		37.0	9606.0	homo_sapiens	Eukaryota
3K28	A	AAT56656.1	429.0		37.0	261594.0	bacillus_anthracis	Bacteria
2DCH	X	BAC16539.1	216.0		87.0	2270.0	thermoproteus	Archaea
3WCT	D	BAN58232.1	149.0			104711.0	lamellibrachia_satsuma	Eukaryota
3BAL	A	AAN45859.1	153.0		29.0	40214.0	acinetobacter_johnsonii	Bacteria
3FA4	A	ABD76556.1	302.0		26.0	5061.0	aspergillus_niger	Eukaryota
4J8Q	A	CAH06445.1	227.0		37.0	272559.0	bacteroides_fragilis	Bacteria
3NZB	X	AAA33787.1	206.0			4754.0	pneumocystis_carinii	Eukaryota
2PN6	A	BAK54442.1	150.0		79.0	111955.0	sulfolobus_tokodaii	Archaea
3CWX	A	AAF80210.1	176.0		37.0	210.0	helicobacter_pylori	Bacteria
4G26	A	AEC08652.1	501.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
4GKH	A	CAM88361.1	272.0		33.0	509173.0	acinetobacter_baumannii	Bacteria
4KBM	B	CCP46406.1	162.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
1Y5H	A	CCP45424.1	133.0		37.0	1773.0	mycobacterium_tuberculosis	Bacteria
2OBD	A	AAA51977.1	476.0		37.0	9606.0	homo_sapiens	Eukaryota
3PT3	A	AAF88143.1	118.0		37.0	9606.0	homo_sapiens	Eukaryota
4A57	A	AAC80188.1	611.0		35.0	5811.0	toxoplasma_gondii	Eukaryota
3P7J	A	ACI96756.1	87.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
4HAA	A	CAA37735.1	109.0			1400.0	bacillus_intermedius	Bacteria
1GY8	A	CAD23117.1	397.0		30.0	5691.0	trypanosoma_brucei	Eukaryota
4U2H	A	AAM94792.1	389.0		27.3	1877.0	micromonospora_echinospora	Bacteria
3U35	A	AAM37221.1	182.0		27.0	346.0	xanthomonas_citri	Bacteria
2YDT	A	CAX17703.1	367.0		25.0	5518.0	gibberella_zeae	Eukaryota
3GBY	A	AAM72284.1	128.0		30.0	194439.0	chlorobium_tepidum	Bacteria
2OVR	B	BAA91986.1	445.0		37.0	9606.0	homo_sapiens	Eukaryota
4H14	A	ABF21064.1	290.0			11128.0	bovine_coronavirus	Virus
2V7Y	A	BAD76789.1	509.0		55.0	235909.0	geobacillus_kaustophilus	Bacteria
2Q9K	A	ACB61449.1	151.0		29.0	262543.0	exiguobacterium_sibiricum	Bacteria
4NNJ	A	DAA08959.1	1040.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
4WZ8	B	CAA96294.1	769.0		28.0	559292.0	saccharomyces_cerevisiae	Eukaryota
3F6A	A	ABG83816.1	159.0		37.0	195103.0	clostridium_perfringens	Bacteria
3I7U	A	AAC06510.1	134.0			224324.0	aquifex_aeolicus	Bacteria
4DCK	A	BAD12085.1	168.0		37.0	9606.0	homo_sapiens	Eukaryota
4BK7	A	CAB02154.1	159.0			3505.0	betula_pendula	Eukaryota
3DSQ	A	AAU93507.1	288.0		35.5	49338.0	desulfitobacterium_hafniense	Bacteria
1TVX	A	EAX05695.1	75.0		37.0	9606.0	homo_sapiens	Eukaryota
3AQY	A	AAM95970.1	106.0			58824.0	plodia_interpunctella	Eukaryota
1CZN	A	AAA22050.1	169.0		24.0	1140.0	synechococcus_elongatus	Bacteria
4N49	A	BAF85253.1	428.0		37.0	9606.0	homo_sapiens	Eukaryota
3IRP	X	BAE17280.1	429.0		35.0	342451.0	staphylococcus_saprophyticus	Bacteria
3MAH	A	AAQ67136.1	157.0		37.0	242619.0	porphyromonas_gingivalis	Bacteria
1V9S	A	BAD71135.1	208.0		71.0	300852.0	thermus_thermophilus	Bacteria
1R8S	E	CAA68084.1	203.0		37.0	9606.0	homo_sapiens	Eukaryota
3PZY	A	AAS03120.1	164.0		37.0	1770.0	mycobacterium_paratuberculosis	Bacteria
1XVY	A	AAA26573.1	309.0		30.5	630.0	yersinia_enterocolitica	Bacteria
4BKU	A	AFI65833.1	276.0		37.0	884204.0	burkholderia_pseudomallei	Bacteria
3LQB	A	AAI33962.1	199.0			7955.0	danio_rerio	Eukaryota
1Y89	A	AAF96794.1	238.0		36.0	243277.0	vibrio_cholerae	Bacteria
1WKY	A	BAD99527.1	464.0		33.0	244966.0	bacillus_sp	Bacteria
1CI3	M	CAA70824.1	249.0		37.0	32059.0	phormidium_laminosum	Bacteria
2FCK	A	ABQ19839.1	181.0		36.0	243277.0	vibrio_cholerae	Bacteria
1PE9	A	AAA24843.1	361.0		27.7	556.0	dickeya_chrysanthemi	Bacteria
3AV3	A	BAD74551.1	212.0		55.0	235909.0	geobacillus_kaustophilus	Bacteria
2RCK	A	AAN06604.3	225.0			7137.0	galleria_mellonella	Eukaryota
4P17	A	EDO98479.1	313.0		23.0	3055.0	chlamydomonas_reinhardtii	Eukaryota
4XUY	A	CAK38067.1	302.0		26.0	425011.0	aspergillus_niger	Eukaryota
1SAW	A	AAK61295.1	225.0		37.0	9606.0	homo_sapiens	Eukaryota
3ZUI	A	AAT65682.1	150.0			6938.0	ornithodoros_moubata	Eukaryota
3B9Q	A	AAK93703.1	302.0		25.0	3702.0	arabidopsis_thaliana	Eukaryota
2IA0	A	AAL80988.1	171.0		100.0	2261.0	pyrococcus_furiosus	Archaea
3BLZ	A	ABN60151.1	128.0		25.0	325240.0	shewanella_baltica	Bacteria
3AR4	A	AAA31165.1	995.0		39.0	9986.0	oryctolagus_cuniculus	Eukaryota
3UM9	A	ABE42492.1	230.0		25.0	296591.0	polaromonas_sp	Bacteria
4TVI	A	CAJ12738.1	312.0		37.0	359391.0	brucella_abortus	Bacteria
1XB3	A	AAA25730.1	128.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
2Q97	T	CAB72264.2	129.0		35.0	5811.0	toxoplasma_gondii	Eukaryota
1NP8	A	AAA64828.1	159.0			10116.0	rattus_norvegicus	Eukaryota
2YVT	A	AAC07740.1	260.0			224324.0	aquifex_aeolicus	Bacteria
1TKK	A	CAB13155.1	366.0		35.0	1423.0	bacillus_subtilis	Bacteria
1OZ2	A	AAH39820.1	331.0		37.0	9606.0	homo_sapiens	Eukaryota
4C92	F	DAA12220.1	86.0		28.0	4932.0	saccharomyces_cerevisiae	Eukaryota
3D32	B	AAD02337.1			37.0	9606.0	homo_sapiens	Eukaryota
3KYJ	B	CAD32760.1	145.0		31.0	1063.0	rhodobacter_sphaeroides	Bacteria
3QLE	A	CAY86898.1	204.0		28.0	643680.0	saccharomyces_cerevisiae	Eukaryota
1Z6N	A	AAG04623.1	167.0		37.0	208964.0	pseudomonas_aeruginosa	Bacteria
1IXH	A	AAC76751.1	321.0		37.0	562.0	escherichia_coli	Bacteria
1WER	A	BAG35610.1	334.0		37.0	9606.0	homo_sapiens	Eukaryota
3I4Z	A	AAX08549.1	465.0		26.0	746128.0	neosartorya_fumigata	Eukaryota
1L1Q	A	AAK56310.1	186.0		35.0	5741.0	giardia_intestinalis	Eukaryota
3ZCW	A	AAI26212.1	348.0		37.0	9606.0	homo_sapiens	Eukaryota
4B4C	A	AAI17135.1	211.0		37.0	9606.0	homo_sapiens	Eukaryota
4C97	A	BAD69901.1	243.0		71.0	300852.0	thermus_thermophilus	Bacteria
2GN0	A	AAL22117.1	342.0			90371.0	salmonella_typhimurium	Bacteria
2E0Q	A	BAK54738.1	104.0		79.0	111955.0	sulfolobus_tokodaii	Archaea
4PNO	A	SQB77623.1	72.0		37.0	562.0	escherichia_coli	Bacteria
3MTI	A	AAV61248.1	185.0		38.0	264199.0	streptococcus_thermophilus	Bacteria
1S21	A	AAV68735.1	206.0		27.0	319.0	pseudomonas_savastanoi	Bacteria
3RHG	A	CAR43202.1	365.0		36.0	529507.0	proteus_mirabilis	Bacteria
2XPW	A	CAA25561.1	207.0		37.0	562.0	escherichia_coli	Bacteria
1JI0	A	AAD36215.1	240.0		79.0	2336.0	thermotoga_maritima	Bacteria
1B4F	A	AAA74244.1	82.0		37.0	9606.0	homo_sapiens	Eukaryota
1LSS	A	AAB99108.1	140.0		84.0	2190.0	methanocaldococcus_jannaschii	Archaea
1M5H	A	AAB89046.1	297.0		81.0	2234.0	archaeoglobus_fulgidus	Archaea
2FBN	A	CZT99629.1	198.0		37.0	5833.0	plasmodium_falciparum	Eukaryota
4QXB	B	EDL33045.1	68.0			10090.0	mus_musculus	Eukaryota
1ZXM	A	AAG13404.1	400.0		37.0	9606.0	homo_sapiens	Eukaryota
3HGB	A	CCP44592.1	155.0		37.0	83332.0	mycobacterium_tuberculosis	Bacteria
3NF4	A	EHI14056.1	387.0		39.0	1797.0	mycobacterium_thermoresistibile	Bacteria
4I1L	A	AAG53606.1	93.0			10090.0	mus_musculus	Eukaryota
2X8H	A	AAK85233.1	598.0			6183.0	schistosoma_mansoni	Eukaryota
3FOT	A	AAK33072.1	519.0		24.0	5514.0	fusarium_sporotrichioides	Eukaryota
1PJU	A	AAA34201.1	123.0			4081.0	solanum_lycopersicum	Eukaryota
2VZX	A	AAM10625.3	231.0			191210.0	dendronephthya_sp	Eukaryota
3I6E	A	AAV96890.1	385.0		28.0	89184.0	ruegeria_pomeroyi	Bacteria
2C47	A	BAG70224.1	313.0		37.0	9606.0	homo_sapiens	Eukaryota
3OPN	A	AAK04956.1	232.0		31.0	1360.0	lactococcus_lactis	Bacteria
4I4Z	A	BAA17535.1	275.0		23.0	1111708.0	synechocystis_sp	Bacteria
2Q79	A	AAA46941.1	93.0			333760.0	human_papillomavirus	Virus
4AIK	A	ACA68167.1	151.0		37.0	633.0	yersinia_pseudotuberculosis	Bacteria
3OID	A	ADM36925.1	258.0		35.0	1423.0	bacillus_subtilis	Bacteria
1JE0	A	AAK42818.1	236.0		85.0	2287.0	sulfolobus_solfataricus	Archaea
4PMP	A	CAA44719.1	291.0		37.0	9606.0	homo_sapiens	Eukaryota
1MZH	A	AAC06495.1	225.0		90.0	63363.0	aquifex_aeolicus	Bacteria
2QDX	A	AAG06785.1	257.0		32.3	287.0	pseudomonas_aeruginosa	Bacteria
1YR0	A	AAK86711.1	175.0			176299.0	agrobacterium_fabrum	Bacteria
2EB0	A	AAB98601.1	307.0		80.0	243232.0	methanocaldococcus_jannaschii	Archaea
1DSZ	A	CAA29787.1	86.0		37.0	9606.0	homo_sapiens	Eukaryota
1MSP	A	CAA63933.1	126.0			6253.0	ascaris_suum	Eukaryota
3D9R	A	CAG74385.1	135.0		27.0	29471.0	pectobacterium_atrosepticum	Bacteria
4EV0	A	BAD71260.1	216.0		71.0	300852.0	thermus_thermophilus	Bacteria
2IU4	A	AAK04344.1	336.0		30.0	1358.0	lactococcus_lactis	Bacteria
1FA2	A	BAA02286.1	498.0			4120.0	ipomoea_batatas	Eukaryota
1NVT	A	AAB99086.1	287.0		84.0	2190.0	methanocaldococcus_jannaschii	Archaea
1OLR	A	AAM77714.2	224.0	68.7	29.0	5527.0	humicola_grisea	Eukaryota
3ZYP	A	AAP57751.1	218.0		24.0	51453.0	hypocrea_jecorina	Eukaryota
4NOH	A	AAT34784.1	169.0		37.0	1392.0	bacillus_anthracis	Bacteria
1R4W	A	AAB50831.1	226.0			10116.0	rattus_norvegicus	Eukaryota
1RJB	A	EAX08424.1	344.0		37.0	9606.0	homo_sapiens	Eukaryota
3GK7	A	CAB60036.2	448.0		35.0	33953.0	clostridium_aminobutyricum	Bacteria
1BU6	O	BAB38274.1	501.0		37.0	562.0	escherichia_coli	Bacteria
4OF8	A	ABB84425.1	228.0		25.0	7227.0	drosophila_melanogaster	Eukaryota
4BJJ	B	CAO77650.1	100.0		27.5	4896.0	schizosaccharomyces_pombe	Eukaryota
4J1Q	A	AAA85144.1	464.0		46.0	224308.0	bacillus_subtilis	Bacteria
